日付,種類,タイトル,著者・主催者,購入先・会場,金額,備考
2026-01-08,書籍,確定申告についてわかりやすい本（例）,税理士監修,Amazon,1760,不動産所得の申告方法を学習
2026-01-15,書籍,不動産投資についてわかりやすい本（例）,不動産投資家著,Amazon,1650,減価償却の設計方法を学習
2026-01-20,オンライン講座,不動産投資の税務実務マスター講座,不動産投資アカデミー,オンライン,12800,全20回の動画講座。設備分離・損益通算・法人化を網羅
2026-02-05,書籍,税務調査についてわかりやすい本（例）,元国税調査官著,書店,1540,調査対応の心構えを学習
2026-02-22,セミナー,不動産投資家向け確定申告セミナー,江戸川区主催,江戸川区総合文化センター,0,無料セミナー。交通費は別途計上
2026-03-10,書籍,融資についてわかりやすい本（例）,銀行員著,Amazon,1870,融資審査の仕組みを学習
2026-03-25,書籍,設備分離と減価償却の実務,税理士・不動産鑑定士共著,Amazon,2420,附属設備分離の具体的手法と計算事例を学習
2026-04-12,オンライン講座,不動産投資の税金講座（動画）,不動産投資スクール,オンライン,8800,全10回の動画講座。経費計上・法人化を網羅
2026-05-08,書籍,不動産の法律についてわかりやすい本（例）,弁護士著,Amazon,2420,賃貸借契約のトラブル対応を学習
2026-05-15,セミナー,不動産投資の出口戦略セミナー,不動産投資協会,東京国際フォーラム,5500,売却タイミング・デッドクロス対策・法人化移行の実務
2026-06-15,書籍,管理についてわかりやすい本（例）,不動産管理のプロ著,書店,1760,自主管理 vs 委託管理の判断基準
2026-07-10,書籍,マンション管理の教科書,マンション管理士著,Amazon,1980,管理組合運営・大規模修繕の計画策定を学習
2026-08-16,セミナー,サラリーマン大家の融資戦略セミナー,不動産投資協会,新宿NSビル,5500,融資の通し方・銀行との交渉術
2026-09-03,書籍,出口戦略についてわかりやすい本（例）,不動産コンサルタント著,Amazon,1980,売却タイミングとデッドクロス対策
2026-09-15,オンライン講座,確定申告の実務講座（青色申告編）,会計ソフト会社主催,オンライン,2980,青色申告の複式簿記・決算書作成の実践
2026-10-20,書籍,法人化についてわかりやすい本（例）,税理士著,Amazon,1760,法人化の損益分岐点を学習
2026-11-08,オンライン講座,青色申告マスター講座,会計ソフト会社主催,オンライン,3300,複式簿記の実践的な入力方法
2026-12-01,書籍,来年の税制改正についてわかりやすい本（例）,税理士グループ著,Amazon,1980,2027年度税制改正のポイント
